Nome Fantasia,Razão Social,CNPJ,Código CNES,Município,UF,CEP,Telefone,Email,Leitos,Atende SUS?,Atende Convênio?
HOSPITAL DR ARY RODRIGUES,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000725,SENADOR GUIOMARD,AC,69925000,(68)3232 2956,hospitalaryrodrigues201705@gmail.com,31,1,0
HOSPITAL INFANTIL IOLANDA COSTA E SILVA,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000385,RIO BRANCO,AC,69900970,(68) 32154800,sasmac.ac@gmail.com,65,1,0
HOSPITAL JOAO CANCIO FERNANDES,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000865,SENA MADUREIRA,AC,69940000,68 36122110,,34,1,0
HOSPITAL DA MULHER E DA CRIANCA DO JURUA,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000296,CRUZEIRO DO SUL,AC,69980000,(68) 3322-5270/2364,same.hmcj.czs@gmail.com,71,1,0
HOSPITAL DR MANOEL MARINHO MONTE,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000997,PLACIDO DE CASTRO,AC,69928000,(68) 32371457/1821,,28,1,0
HOSPITAL EPAMINONDAS JACOME,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000393,XAPURI,AC,69930000,(68)3542 2031/3006,hospitaldexapuri@hotmail.com,34,1,0
HOSPITAL DE SAUDE MENTAL DO ACRE,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000857,RIO BRANCO,AC,69911108,68 3225-2356/2282,hosmac.saude@ac.gov.br,65,1,0
HOSPITAL DR SANSAO GOMES,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000121,TARAUACA,AC,69970000,(68)-34621977 /1888,hospital.tk@gmail.com,42,1,0
HOSPITAL DE CLINICAS RAIMUNDO CHAAR,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2001500,BRASILEIA,AC,69932000,,,79,1,0
HOSPITAL GERAL DE FEIJO,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000636,FEIJO,AC,69960000,,hospitaldefeijo2023@gmail.com,42,1,0
HC COGIVA,OBSTETRICIA E GINECOLOGIA CARVALHO LTDA,,6238203,CRUZEIRO DO SUL,AC,69980000,68 3322 6735,clinicacogiva@yahoo.com.br,14,0,0
